F-HB-06	Market (post listing, buy with escrow)
F-HB-07	Logs stream (limit 80)
F-HB-08	Apps matrix: 100-app catalog, 10 categories, search, install/connect
F-HB-09	App communities (appKey group, founder admin)
F-HB-10	My apps (installed list)
F-GR-01	Create DM/group (server dedupe)
F-GR-02	Group info: rename, photo, description, flags
F-GR-03	Members: add, remove, promote/demote (admin)
F-GR-04	Leave group
F-GR-05	Invite codes: create/regenerate, public preview, redeem (`?join=` web)
F-GR-06	conversation:updated handling (list refresh trigger)
F-OF-01	Offline shell (SW precache, offline 503 page)
F-OF-02	PWA install prompt
F-OF-03	Outbox FIFO ≤50 (F-MS-25)
F-OF-04	Flush triggers: mount-with-pending / online / visibilitychange / 20 s self-heal
F-OF-05	Delta sync (web re-fetches full lists; **natives should add cursor sync**)
F-AI-01	LLM companion bot "Pulse AI" (DMs always; groups via @Pulse AI; typing relay; 16-msg context)
F-AI-02	Command bot (10 deterministic commands; trigger via `/cmd`, `@pulseai`, "pulseai,")
F-AI-03	Keyword automations (admin-authored trigger/reply, word-boundary, `viaAutomation`)
F-AI-04	AI recap (last 30 msgs → ≤5 bullets; 5-min cache; 409 <5)
F-AI-05	Webhooks: manage (participant-gated) + public ingest `POST /api/webhooks/{token}`
F-RT-01	join → joined{onlineUserIds} → presence:snapshot (privacy-filtered)
F-RT-02	typing (privacy-gated R47)
F-RT-03	message fan-out: new/deleted/read/react/edited/pinned/viewed
F-RT-04	poll:voted, link:preview, translation:added, conversation:updated
F-RT-05	voice/stage/space room events
F-RT-06	call signaling
F-RT-07	Reconnect: 800 ms→5 s, polling-first upgrade (web)
F-RT-08	Privacy flags service-side (typing hidden, presence filtered; fail-open 30 s TTL)
F-FX-01	Ambient modes ×6 (off/aurora/caustics/mesh/stars/liquid; 3 GLSL shaders + 2 Canvas approximations; epoch t=14.2)
F-FX-02	Particle bursts: confetti/hearts/stars/burst (send/react/onboarding triggers)
F-FX-03	5 UI themes (glass/kinetic/minimal/dynamic/aero)
F-FX-04	13 nav architectures
F-FX-05	Conversation themes (wallpaper + tint, ≤48 entries in prefs)
F-FX-06	Dark mode (system/light/dark cycle)
F-FX-07	Motion system: 4 springs (snappy/soft/bouncy/gentle), press 0.94, stagger 28 ms, reduced-motion
F-PS-01	In-app update system (manifest → APK, 4 integrity gates) — **Android-only today by design**
F-PS-02	Scheduled-message dispatch cron (server flushes ≤25 due)
F-PS-03	OS push notifications — **does not exist on web at all** (in-app only)
F-PS-04	Deep links: web hash routes + `?join=CODE`; Android manifest declares `pulse://` (dead); iOS none
F-PS-05	Health/observability (socket `GET /` health; web debug surfaces)
