Yes. The distinction is now clear.

You are **not** asking me which platform has the most features. You are asking me to dissect each product as a **messaging experience**:

**1. What is the single most important messaging feature?**
**2. What does an ordinary user actually do, step by step?**
**3. How is that feature presented/decorated in the interface?**
**4. What is the systematic structure underneath it?**
**5. What does the platform add beyond plain messaging?**

That is the useful benchmark for designing a serious messaging application.

I have also tightened the research standard here: where an item is not actually a standalone platform, has been discontinued, or I cannot verify the product you intended, I will say so rather than manufacture a feature.

---

# The 100-platform messaging benchmark

## 1–10

| #      | Platform     | Crucial messaging feature                          | Ordinary flow                                                                           | How the interface/system is organised                                                                                                                                                                                                                                                                                                                                | Beyond chat                                                                                      |
| **16** | **Matrix**            | **Federated room messaging**            | Client → server → room → message → federation/bridge                     | Matrix itself has no single UI; that is precisely the point. Clients can design different experiences over the same communication protocol.                                                                                                                                                           | Federation, bridges, interoperability, decentralised infrastructure |
| **17** | **Twitch**            | **Live chat beside live content**       | Enter stream → watch → read chat → react/emote → participate             | **Video gets the dominant visual area; chat becomes the persistent audience layer.** That hierarchy is the important design decision.                                                                                                                                                                 | Subscriptions, Bits, raids, clips, channel points, moderation       |
| **18** | **Microsoft Teams**   | **Conversation tied to workspaces**     | Team/channel/chat → message → thread/reaction → file/meeting/action      | Teams separates chat, channels and meetings but lets documents and collaborative components appear in context.                                                                                                                                                                                        | Meetings, files, Loop, apps, workflows, Microsoft 365               |
| **19** | **Google Chat**       | **Spaces + threaded work conversation** | Space/DM → message → thread → file/app/meeting                           | Space-centric organisation keeps work conversations grouped; Google Workspace objects can enter the same context.                                                                                                                                                                                     | Meet, Drive, Workspace apps, bots, shared tasks/content             |
| **20** | **Zoom**              | **Chat attached to meetings/work**      | DM/team → chat → meeting → follow-up content                             | Conversation, meetings, clips, docs and whiteboards are increasingly presented as adjacent work surfaces. Zoom's current AI layer can work from meetings/chats/docs and generate work artefacts.                                                                                                      | Meetings, Clips, Docs, Whiteboard, AI Companion                     |

---

# 21–30

| #      | Platform        | Crucial messaging feature                  | Ordinary flow                                                      | Decoration/system                                                                                                                                                                                                                 | Beyond chat                                                             |
| ------ | --------------- | ------------------------------------------ | ------------------------------------------------------------------ | --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ----------------------------------------------------------------------- |
| **21** | **Webex**       | **Persistent meeting-space communication** | Space → message → meeting/call → files                             | Spaces provide continuity between asynchronous chat and synchronous meetings.                                                                                                                                                     | Meetings, whiteboards, calling, integrations                            |
| **22** | **Chanty**      | **Message → task conversion**              | Chat → message → convert message to task → assign/due date → track | The task is deliberately born **inside the conversation**, instead of forcing copying into another system. Chanty officially lists tasks, Kanban, calls, pins, search, integrations and message-to-task conversion. ([Chanty][6]) | Tasks, Kanban, Teambook, integrations                                   |
| **23** | **Flock**       | **Channel-centred team communication**     | Join channel → message → file/link → call                          | Public/private channels establish the social structure first; Flock explicitly uses channels as the central hub and separates calls, search and voice notes as communication modes. ([Flock][7])                                  | Calls, guests, search, integrations, workflow tools                     |
| **24** | **Ryver**       | **Chat vs topic vs task separation**       | People/team/forum → Chat or Topic → discussion → task/call         | This is unusually explicit: **Chat = immediate**, **Topics = focused discussion**, **Tasks = execution**, **Calls = synchronous**. Ryver also lets a chat message become a Topic or Task. ([Ryver Support][8])                    | Forums, topics, tasks, Kanban, calls                                    |
| **25** | **Mattermost**  | **Structured operational/team messaging**  | Team → channel → message/thread → operational action               | Channel-centric, administration-heavy and designed to keep operational discussions organised.                                                                                                                                     | Playbooks, integrations, calls, self-hosting                            |
| **26** | **Rocket.Chat** | **Multi-channel unified conversation**     | Omnichannel/room → message → thread → agent/team action            | Rooms, channels, threads and external customer channels are unified rather than treated as unrelated products.                                                                                                                    | Omnichannel support, Livechat, integrations, automation                 |
| **27** | **Zulip**       | **Topic-based messaging**                  | Stream → topic → conversation → replies                            | This is one of the most important information-architecture ideas in the entire list: multiple discussions coexist inside one stream because **topics label the conversation itself**. ([Zulip][9])                                | Bots, integrations, reminders, polls, workflows                         |
| **28** | **Fumble**      | **Unverified**                             | —                                                                  | I cannot establish a sufficiently reliable current communication-product profile for the “Fumble” you intended. I will not invent its feature architecture.                                                                       | —                                                                       |
| **29** | **Guilded**     | **Gaming-community communication**         | Server → channel → community activity → voice/text                 | Historically, its strength was combining communication with gaming-oriented organisation rather than only channels.                                                                                                               | Calendars, forums, gaming communities — **but Guilded has been sunset** |
| **30** | **TeamSpeak**   | **Highly controllable voice channels**     | Server → channel → join voice → speak                              | Tree-like channel hierarchy and permissions are the interface's organising principle. TeamSpeak 6 exposes separate server and channel permission groups. ([TeamSpeak][10])                                                        | Server administration, voice infrastructure                             |

---

# 31–40

| #      | Platform         | Crucial messaging feature                          | Ordinary flow                                               | Decoration/system                                                                                                                                                                                                        | Beyond chat                                                    |
| ------ | ---------------- | -------------------------------------------------- | ----------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ | -------------------------------------------------------------- |
| **31** | **Mumble**       | **Low-latency/positional voice**                   | Join voice → talk → hear people spatially                   | The interface is relatively utilitarian because **audio behaviour** is the core product. Positional audio changes volume/direction according to another participant's position. ([Mumble][11])                           | Positional audio, gaming integration                           |
| **32** | **Steam Chat**   | **Messaging tied to game presence**                | Friend/game group → message → voice/group → join game       | Friends are contextualised by what they are doing rather than merely being “online”.                                                                                                                                     | Game presence, groups, voice, gaming ecosystem                 |
| **33** | **Skype**        | **Internet calling + messaging**                   | Contact → chat → call/video/share                           | Historically integrated messaging and calling into one communication surface.                                                                                                                                            | Calling, file sharing, screen sharing — **retired 5 May 2025** |
| **34** | **VRChat**       | **Spatial social communication**                   | Enter world → instance → see avatars → talk → move/interact | The *world itself* replaces conventional chat-screen hierarchy. Presence, avatar, distance and spatial audio are the interface. VRChat instances determine who can share a particular world session. ([VRChat Wiki][12]) | Worlds, avatars, groups, user-generated environments           |
| **35** | **Rec Room**     | **Social communication through shared activities** | Enter room → meet people → talk → play/build                | UI is subordinated to the room/experience. You interact with people through the world, not solely through a message list.                                                                                                | User-created rooms, Maker Pen, games, events                   |
| **36** | **Snapchat**     | **Camera-first messaging**                         | Camera → capture → send/chat → Story → reply                | Camera is the starting surface, not a text inbox. Ephemeral content has its own presentation, while chat remains a separate layer.                                                                                       | Stories, Spotlight, Lenses, Map                                |
| **37** | **Instagram DM** | **Sharing native visual objects**                  | See post/Reel/Story → share to person/group → react/reply   | The message is visually rich because Instagram objects remain visually recognisable inside the conversation.                                                                                                             | Reels/Stories/media graph, creator sharing                     |
| **38** | **TikTok Inbox** | **Conversation around discovered media**           | Discover video → share → inbox → reply                      | Messaging inherits TikTok's media-first visual language instead of becoming an ordinary text messenger.                                                                                                                  | Video discovery and social sharing                             |
| **39** | **X DMs**        | **Private channel attached to public discourse**   | Public post/Space → share privately → DM → conversation     | Public and private communication are linked; a public object can become the starting point for a private discussion.                                                                                                     | Posts, Communities, Spaces, media                              |
| **40** | **Threads**      | **Public conversational posts**                    | Compose post → replies → quote/repost → follow discussion   | Its conversation architecture is primarily public and feed-based rather than DM-first.                                                                                                                                   | Public discussion, communities/social graph                    |

---

# 41–50

| #      | Platform             | Crucial messaging feature               | Ordinary flow                                                     | Decoration/system                                                                                                                                                                    | Beyond chat                                                    |
| ------ | -------------------- | --------------------------------------- | ----------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ | -------------------------------------------------------------- |
| **41** | **iMessage**         | **Deeply integrated private messaging** | Messages → rich media/reaction → call/share/content               | Apple prioritises clean bubbles and contextual actions, while system-level features reduce the feeling of switching apps.                                                            | Reactions, effects, shared content, calling, location/features |
| **42** | **Google Messages**  | **RCS rich messaging**                  | Contact → message → typing/read/media → call/share                | Familiar SMS-derived layout enhanced with richer conversation controls. Google Messages supports RCS features such as typing/read indicators and richer media. ([Signal Support][2]) | RCS, multimedia messaging, device ecosystem                    |
| **43** | **RCS Chat**         | **Modern carrier messaging protocol**   | Compose → carrier/RCS network → deliver/read/reply                | **Not one app**, so there is no universal RCS decoration. Individual clients determine the visual experience.                                                                        | Rich messaging at protocol level                               |
| **44** | **Voxer**            | **Push-to-talk voice messaging**        | Hold/tap → speak → recipient listens immediately or later → reply | Voice has the interaction priority, essentially recreating walkie-talkie behaviour without requiring a live phone call.                                                              | Text, images, live/asynchronous voice                          |
| **45** | **Zello**            | **Push-to-talk coordination**           | Select channel/person → press talk → release → listen             | Extremely action-oriented: the interface revolves around one fast communication gesture.                                                                                             | Channels, location/team use, dispatch-style communication      |
| **46** | **Marco Polo**       | **Asynchronous video messages**         | Record video → send → recipient watches later → responds          | Video takes the place of voice notes, but remains asynchronous.                                                                                                                      | Video-first relationships                                      |
| **47** | **Clubhouse**        | **Live audio rooms**                    | Discover room → enter → listen → raise hand → speak               | Speaker/listener hierarchy replaces traditional chat hierarchy. The room itself is the social object.                                                                                | Live discovery, clubs, events                                  |
| **48** | **Twitter/X Spaces** | **Live audio attached to social graph** | See Space → enter → listen/request speaker → talk                 | Live audio is surfaced through the existing X network rather than being isolated from the feed.                                                                                      | Live events, public discussion                                 |
| **49** | **BeReal**           | **Ritualised ephemeral social sharing** | Prompt → camera → post → see friends → react/comment              | The defining decoration is the **time-based ritual** rather than a huge feature surface.                                                                                             | Friends feed, reactions/comments                               |
| **50** | **Bere.al**          | **Not a separate messenger platform**   | —                                                                 | This should not be counted as an independent messaging architecture.                                                                                                                 | —                                                              |

---

# 51–60

| #      | Platform              | Crucial messaging feature                             | Ordinary flow                                                                     | Decoration/system                                                                                                                                                                                                 | Beyond chat                                      |
| ------ | --------------------- | ----------------------------------------------------- | --------------------------------------------------------------------------------- | ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------ |
| **51** | **Status**            | **Decentralised private messaging**                   | Identity → contact → chat → community/transaction                                 | Messaging coexists with wallet/community concepts rather than being a conventional social inbox.                                                                                                                  | Wallet, decentralised communities                |
| **52** | **Status IM**         | **Same Status messaging ecosystem**                   | Same underlying model as Status                                                   | Not a genuinely separate product architecture from #51.                                                                                                                                                           | Same ecosystem                                   |
| **53** | **Status Network**    | **Infrastructure, not messaging UI**                  | App/protocol → network                                                            | It is a blockchain/L2 environment, not a normal messenger benchmark.                                                                                                                                              | Network infrastructure                           |
| **54** | **Session Messaging** | **Same Session architecture**                         | Same conceptual model as #14                                                      | Duplicate of the Session messenger category rather than another independent app.                                                                                                                                  | Decentralised/privacy infrastructure             |
| **55** | **SimpleX Chat**      | **Messaging without permanent user IDs**              | Create/connect → establish contact → chat → optionally use incognito/disappearing | Identity is intentionally less prominent than ordinary username/phone-number systems. SimpleX documents anonymous pairwise identifiers, groups, files and other private communication features. ([Tars Docs][13]) | Privacy architecture, anonymous identity         |
| **56** | **Briar**             | **Resilient messaging under disconnected conditions** | Find contact → connect → message → synchronise when possible                      | The architecture is designed around network failure rather than assuming a normal always-online cloud messenger. Briar supports synchronisation through Bluetooth/Wi-Fi/Internet/Tor-style communication paths.   | Forums, blogs, offline/local networking          |
| **57** | **Jami**              | **Distributed communications**                        | Contact/group → message/call → share → conference                                 | Peer/distributed architecture supports a broader communications toolkit.                                                                                                                                          | Calls, screen sharing, conferences, extensions   |
| **58** | **Tox**               | **Peer-to-peer secure messaging**                     | Identify peer → message/call → file exchange                                      | The system emphasises decentralised communication rather than a conventional central social graph.                                                                                                                | P2P voice/video/files                            |
| **59** | **Wire**              | **Secure collaboration around messages/files**        | Team/conversation → message → file → call → collaborative action                  | Security remains integrated into ordinary collaboration rather than becoming a separate “secure mode”.                                                                                                            | Calls, files, meetings, enterprise collaboration |
| **60** | **Dust**              | **Ephemeral/private communication**                   | Message → temporary exchange → disappearance                                      | The product philosophy centres on reducing the permanence of communication rather than accumulating a giant archive.                                                                                              | Privacy/ephemerality                             |

---

# 61–70

| #      | Platform                   | Crucial messaging feature                                  | Ordinary flow                                                             | Decoration/system                                                                                                                                                                                                           | Beyond chat                                               |
| ------ | -------------------------- | ---------------------------------------------------------- | ------------------------------------------------------------------------- | --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | --------------------------------------------------------- |
| **61** | **Keybase**                | **Cryptographically verified identity + chat**             | Identity/team → chat → verify/share                                       | Trust is part of the information architecture rather than merely a profile badge.                                                                                                                                           | Teams, cryptographic identity, secure files/Git           |
| **62** | **Spike**                  | **Email made conversational**                              | Open inbox → choose person → read/send like chat                          | Removes traditional email visual ceremony: subject-heavy message stacks become conversational threads.                                                                                                                      | Notes, tasks, meetings, collaborative email               |
| **63** | **Missive**                | **Internal collaboration around an external conversation** | Customer email → private team comment → draft → assign → send             | External message and internal discussion coexist but remain visually distinct. Missive supports comments, mentions, assignments and shared drafts. ([Missive][14])                                                          | Shared inboxes, team spaces, chatrooms, tasks, automation |
| **64** | **Front**                  | **Operational shared inbox**                               | Incoming conversation → assign → internal comment → reply → archive       | Front treats the inbox like a work queue: Open, Archived, Snoozed, Trash, Spam. Internal comments are invisible to the customer. It also routes channels into shared inboxes. ([Front Help Center][15])                     | Assignment, routing, rules, analytics, AI                 |
| **65** | **Intercom**               | **Customer conversation → support operation**              | Customer starts conversation → agent inbox → reply/AI → ticket/escalation | Conversation and ticket are separate conceptual objects; current Intercom also integrates Copilot into the right sidebar and can use conversation history, internal/public knowledge and external content. ([Intercom][16]) | AI agent, tickets, help centre, workflows, omnichannel    |
| **66** | **Drift**                  | **Conversational qualification**                           | Visitor → chat → qualify → route → book meeting                           | The interface is designed around an outcome instead of open-ended social conversation.                                                                                                                                      | Sales automation, routing, scheduling                     |
| **67** | **Crisp**                  | **Shared customer conversations**                          | Visitor → message → shared inbox → team answer                            | Team collaboration happens around the customer thread rather than duplicating it.                                                                                                                                           | Chatbots, inbox, knowledge/support                        |
| **68** | **Tidio**                  | **Human + automated support**                              | Customer → chatbot/flow → human if needed → resolution                    | The critical design is handoff: automation begins the conversation but the human inherits context. Tidio currently combines live chat, macros, transcripts, tickets, Flows and its Lyro AI agent. ([Tidio][17])             | AI support, ticketing, automation                         |
| **69** | **Zendesk Chat/Messaging** | **Persistent customer messaging**                          | Customer → message → bot/agent → ticket/case → resolution                 | Conversation is increasingly treated as persistent customer history instead of temporary website chat. Zendesk specifically highlights persistence, AI agents and omnichannel messaging. ([Zendesk Support][18])            | Tickets, AI agents, knowledge, omnichannel                |
| **70** | **HubSpot Chat**           | **Chat tied to CRM identity**                              | Visitor → chat → identify → CRM record → sales/support action             | Messaging is useful because the system can connect the conversation to a customer record and lifecycle.                                                                                                                     | CRM, marketing, sales, automation                         |

---

# 71–80

| #      | Platform              | Crucial messaging feature                          | Ordinary flow                                                      | Decoration/system                                                                                                                                                                                                              | Beyond chat                                                  |
| ------ | --------------------- | -------------------------------------------------- | ------------------------------------------------------------------ | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ | ------------------------------------------------------------ |
| **71** | **ManyChat**          | **Automated social conversations**                 | Trigger/comment → automatic public reply → DM → flow → goal        | The system is a **visual automation builder**, not merely an inbox. Manychat currently supports comment-triggered public replies followed by DMs and automation flows. ([Manychat Help][19])                                   | Automation, lead capture, AI                                 |
| **72** | **Chatfuel**          | **No-code automated messaging**                    | Trigger → bot → condition → response → next branch                 | Conversation appears as a flow rather than a chronological inbox.                                                                                                                                                              | Automation, lead generation                                  |
| **73** | **MobileMonkey**      | **Social-channel automation**                      | Social event → trigger → DM → automated conversation               | Public engagement and private messaging are connected into a single automation funnel.                                                                                                                                         | Automation, CRM/marketing workflows                          |
| **74** | **Landbot**           | **Conversation as an interface**                   | Bot opens → question → user answer → next question                 | Its visual builder presents dialogue as a flowchart; the conversation itself replaces the conventional form.                                                                                                                   | Forms, lead capture, automation                              |
| **75** | **Tars**              | **Structured conversational journey**              | Agent → “Gambit” → user input → branch → next Gambit               | Tars explicitly models each interaction as a connected conversational building block on a visual canvas. ([Tars Docs][13])                                                                                                     | AI agents, forms, conversion flows                           |
| **76** | **Typeform Chat**     | **Conversational data collection**                 | Question → answer → branch → relevant next question                | The interface reduces the intimidating appearance of a traditional long form by revealing only the next relevant step.                                                                                                         | Forms, branching, AI, FAQ assistance                         |
| **77** | **Jostle**            | **People-centric organisational communication**    | Find person/team → message/info → knowledge/action                 | The interface prioritises people, organisational context and discovery rather than a giant chat feed. Jostle explicitly focuses on discovering who can help by skill/role and finding organisational knowledge. ([Jostle][20]) | Intranet, knowledge, recognition, organisational directory   |
| **78** | **Workplace by Meta** | **Social-style organisational communication**      | Group → post/chat → reactions/comments → organisation-wide sharing | Historically used Facebook-like social conventions for internal organisations.                                                                                                                                                 | Groups, announcements, live video — **closed May 2026**      |
| **79** | **Basecamp**          | **Conversation separated by permanence**           | Project → Message Board/Campfire → discussion → task               | This is one of the cleanest architectures: Message Boards for durable discussions, Campfire for casual chat, To-dos for commitments. Every project gets a dedicated home. ([Basecamp][21])                                     | Projects, to-dos, files, schedules, Hill Charts, Card Tables |
| **80** | **ClickUp Chat**      | **Conversation directly attached to work objects** | Chat → idea → task/doc/whiteboard → execution                      | It tries to remove the “copy this from chat into project management” step. Whiteboards and Docs can connect directly with tasks.                                                                                               | Tasks, Docs, Whiteboards, projects, automation               |

---

# 81–90

| #      | Platform            | Crucial messaging feature                              | Ordinary flow                                               | Decoration/system                                                                                                                                                                   | Beyond chat                                                             |
| ------ | ------------------- | ------------------------------------------------------ | ----------------------------------------------------------- | ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ----------------------------------------------------------------------- |
| **81** | **Asana Chat**      | **Communication tied to accountability**               | Team/project → update/comment → task/owner → completion     | Conversation sits on the work object, so discussion does not become detached from ownership.                                                                                        | Tasks, projects, goals, automation, AI                                  |
| **82** | **monday.com Chat** | **Communication over structured work data**            | Board/team → conversation → record/action → workflow        | The important layer is the work database underneath the discussion; chat can point toward structured objects.                                                                       | Boards, automations, dashboards, AI agents                              |
| **83** | **Notion**          | **Conversation attached to shared knowledge**          | Page/database → comment → edit/context → knowledge retained | Comments and conversations live with the actual page or block. The document, rather than the inbox, becomes the durable object.                                                     | Wiki, databases, docs, AI, project management                           |
| **84** | **Miro**            | **Visual collaboration rather than text-first chat**   | Board → object → comment/discuss → modify canvas            | Infinite canvas acts as the conversation space; people communicate *through things they place on the canvas*.                                                                       | Workshops, diagrams, planning, AI workflows                             |
| **85** | **Figma**           | **Conversation anchored directly to design artefacts** | Select object → comment → reply → revise → resolve          | This is one of the strongest designs in the entire benchmark: discussion is attached to the exact visual object instead of floating in a general chat.                              | Multiplayer editing, audio, cursor presence, prototyping, presentations |
| **86** | **Gather.town**     | **Spatial workplace messaging**                        | Enter map → approach person → chat/call → move to room      | Location becomes metadata. The map itself tells you where people are and therefore gives communication context.                                                                     | Virtual offices, events, spatial meetings                               |
| **87** | **Kumospace**       | **Proximity-based social conversation**                | Enter space → approach group → video/audio/chat             | Spatial positioning is used to mimic the social logic of physical rooms.                                                                                                            | Virtual offices/events                                                  |
| **88** | **Topia**           | **Social interaction through virtual spaces**          | Enter world → move → meet → talk/interact                   | Environment and movement provide hierarchy instead of lists of rooms alone.                                                                                                         | Virtual events/worlds                                                   |
| **89** | **Spatial**         | **Immersive social communication**                     | Enter 3D environment → avatar → interact → talk             | Avatar + environment + spatial interaction replace conventional message-centric UI.                                                                                                 | 3D worlds, events, creative spaces                                      |
| **90** | **Roblox Chat**     | **Communication inside an experience**                 | Enter experience → play → chat → react/coordinate           | Chat is secondary to the shared activity; the game/world gives conversation its context. Roblox's current safety system includes age-checking and age-based communication controls. | Games, experiences, creator ecosystem                                   |

---

# 91–100

| #       | Platform           | Crucial messaging feature                     | Ordinary flow                                                               | Decoration/system                                                                                                                                                                                                | Beyond chat                                                                          |
| ------- | ------------------ | --------------------------------------------- | --------------------------------------------------------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------ |
| **91**  | **Minecraft Chat** | **Communication while creating/exploring**    | Join world/server → build/explore → chat/command → continue activity        | The actual world is the dominant interface; chat overlays activity rather than replacing it.                                                                                                                     | Building, servers, commands, communities                                             |
| **92**  | **Among Us Chat**  | **Communication as a gameplay mechanic**      | Play → meeting → discussion → vote → return to game                         | Communication appears at strategically meaningful moments; it directly affects the game's outcome.                                                                                                               | Deduction, voting, gameplay                                                          |
| **93**  | **Plato**          | **Chat wrapped around games**                 | Friend/group → choose game → play → chat → continue                         | The shared activity is always nearby, preventing the conversation from becoming socially empty.                                                                                                                  | Casual multiplayer games                                                             |
| **94**  | **Hago**           | **Social interaction through games**          | Discover room/game → join → play → voice/chat                               | The game is the social bridge; messaging does not have to carry the entire relationship by itself.                                                                                                               | Games, live rooms, social activities                                                 |
| **95**  | **Yubo**           | **People discovery + live interaction**       | Discover person/live → join → interact → chat                               | Discovery is the first-class surface, with messaging as one stage in relationship building.                                                                                                                      | Live interaction, social discovery                                                   |
| **96**  | **Leket**          | **Unverified**                                | —                                                                           | I cannot reliably identify the exact current “Leket” platform you intended from authoritative material. I will not manufacture its features.                                                                     | —                                                                                    |
| **97**  | **Amino**          | **Interest-specific community messaging**     | Choose community → profile → chat/feed → participate                        | The key design was that different communities could have their own culture and identity instead of one universal social context.                                                                                 | Communities, fandoms — **service shut down December 2025**                           |
| **98**  | **BAND**           | **Group-life organisation**                   | Band → announcement/chat → calendar/poll/file/task → event                  | This is an excellent example of designing around the *group's purpose*, not around messaging alone. BAND combines posts, chats, calendars, polls, files, attendance and other group tools.                       | Events, polls, calendars, files, livestreams                                         |
| **99**  | **MeWe**           | **User-controlled social/group conversation** | Feed/group → post/chat → media/reaction → group interaction                 | Groups have their own communication and storage contexts; the experience is designed around user control rather than a single opaque algorithmic feed.                                                           | Groups, pages, stories, storage, voice/video                                         |
